id_viaje,ruta,estacion_origen,estacion_destino,dia_semana,hora_salida,pasajeros,distancia_km,tiempo_viaje_min,incidente,temperatura_c,lluvia_mm,cluster,cluster_label
V0001,R1 - Centro,Est. La Sabana,Est. Ricaurte,Miercoles,5,284,7.58,17.7,0,13.5,0.2,0,0
V0002,R4 - Oriental,Est. Ferias,Est. Quirigua,Jueves,18,469,7.27,12.6,0,14.0,10.6,3,3
V0003,R2 - Norte,Est. Portal Norte,Est. Alcala,Miercoles,8,606,16.26,31.3,0,17.6,14.6,2,2
V0004,R5 - Occidental,Est. Garces Navas,Est. Minuto de Dios,Sabado,18,501,5.49,17.8,0,15.4,6.6,0,0
V0005,R2 - Norte,Est. Calle 100,Est. Alcala,Lunes,11,401,17.04,53.5,0,20.5,3.5,2,2
V0006,R5 - Occidental,Est. Garces Navas,Est. Minuto de Dios,Domingo,9,415,10.47,24.3,0,13.1,10.6,1,1
V0007,R3 - Sur,Est. NQS Sur,Est. Bosa,Sabado,9,395,16.19,29.0,0,16.4,12.3,2,2
V0008,R5 - Occidental,Est. Minuto de Dios,Est. Portal 80,Viernes,16,381,12.79,28.3,0,16.0,8.2,2,2
V0009,R4 - Oriental,Est. Ferias,Est. Modelia,Miercoles,7,574,14.08,31.9,0,13.2,14.5,2,2
V0010,R1 - Centro,Est. La Sabana,Est. Ricaurte,Miercoles,19,513,9.32,28.3,0,14.1,0.8,0,0
V0011,R5 - Occidental,Est. Avenida 68,Est. Minuto de Dios,Martes,7,643,12.26,25.2,0,16.7,7.6,1,1
V0012,R5 - Occidental,Est. Avenida 68,Est. Portal 80,Lunes,20,281,5.82,10.9,0,17.4,10.8,3,3
V0013,R1 - Centro,Est. Central,Est. Ricaurte,Viernes,7,916,8.29,20.3,0,16.6,12.9,1,1
V0014,R4 - Oriental,Est. La Granja,Est. Modelia,Domingo,10,236,6.16,11.9,0,17.8,2.7,0,0
V0015,R2 - Norte,Est. Alcala,Est. Portal Norte,Miercoles,19,498,14.94,26.1,0,18.4,12.0,3,3
V0016,R5 - Occidental,Est. Garces Navas,Est. Portal 80,Miercoles,15,177,11.06,30.9,0,13.1,8.3,0,0
V0017,R1 - Centro,Est. Paloquemao,Est. Central,Viernes,7,705,9.7,21.6,0,17.2,5.9,1,1
V0018,R3 - Sur,Est. Bosa,Est. Portal Sur,Sabado,8,580,7.14,18.7,0,21.7,2.0,1,1
V0019,R1 - Centro,Est. Ricaurte,Est. Central,Sabado,14,213,4.49,8.6,0,17.7,13.0,3,3
V0020,R3 - Sur,Est. Kennedy,Est. Bosa,Lunes,16,508,17.39,37.5,0,19.1,2.4,2,2
V0021,R4 - Oriental,Est. Quirigua,Est. La Granja,Martes,17,586,5.33,11.1,1,15.8,4.6,0,0
V0022,R2 - Norte,Est. Portal Norte,Est. Toberin,Miercoles,9,532,6.4,12.2,0,20.0,4.4,1,1
V0023,R1 - Centro,Est. Paloquemao,Est. Ricaurte,Martes,6,534,3.86,9.4,0,20.0,13.1,1,1
V0024,R5 - Occidental,Est. Garces Navas,Est. Portal 80,Sabado,9,411,16.29,29.1,0,17.7,10.1,2,2
V0025,R4 - Oriental,Est. Ferias,Est. Quirigua,Sabado,15,280,12.41,27.5,0,21.8,12.0,3,3
V0026,R1 - Centro,Est. Central,Est. La Sabana,Jueves,7,902,6.84,19.8,0,14.1,3.8,1,1
V0027,R5 - Occidental,Est. Avenida 68,Est. Garces Navas,Domingo,21,301,8.53,17.2,0,13.2,9.4,3,3
V0028,R1 - Centro,Est. La Sabana,Est. Paloquemao,Lunes,22,353,6.81,13.0,0,19.9,8.6,3,3
V0029,R3 - Sur,Est. NQS Sur,Est. Portal Sur,Jueves,7,719,18.28,46.9,0,20.3,12.5,2,2
V0030,R1 - Centro,Est. La Sabana,Est. Ricaurte,Domingo,22,220,9.54,17.6,0,14.1,13.6,3,3
V0031,R1 - Centro,Est. Central,Est. Paloquemao,Jueves,18,885,5.37,9.6,0,15.4,0.2,0,0
V0032,R1 - Centro,Est. Central,Est. Ricaurte,Jueves,9,521,5.27,13.9,0,13.2,10.1,1,1
V0033,R4 - Oriental,Est. Quirigua,Est. Ferias,Lunes,18,593,5.61,9.7,0,15.6,0.8,0,0
V0034,R1 - Centro,Est. Ricaurte,Est. Central,Lunes,10,369,9.53,28.0,0,20.0,8.2,1,1
V0035,R5 - Occidental,Est. Minuto de Dios,Est. Garces Navas,Viernes,7,578,14.03,39.3,0,17.7,4.3,2,2
V0036,R3 - Sur,Est. Kennedy,Est. Portal Sur,Martes,11,273,10.54,29.9,0,16.1,4.6,0,0
V0037,R3 - Sur,Est. Bosa,Est. Portal Sur,Martes,12,207,6.83,12.3,0,16.3,5.3,0,0
V0038,R1 - Centro,Est. Ricaurte,Est. La Sabana,Viernes,5,407,4.47,9.2,0,13.0,9.3,1,1
V0039,R4 - Oriental,Est. Quirigua,Est. Ferias,Viernes,21,139,14.86,43.3,0,15.7,5.0,2,2
V0040,R4 - Oriental,Est. Modelia,Est. Quirigua,Sabado,5,315,7.7,18.1,0,18.8,11.0,1,1
V0041,R5 - Occidental,Est. Minuto de Dios,Est. Portal 80,Domingo,13,199,14.09,29.7,0,21.8,6.1,2,2
V0042,R1 - Centro,Est. Central,Est. La Sabana,Jueves,9,482,9.22,28.5,0,20.6,1.0,1,1
V0043,R3 - Sur,Est. Bosa,Est. Portal Sur,Viernes,18,745,12.31,22.4,0,13.2,11.8,3,3
V0044,R4 - Oriental,Est. Ferias,Est. La Granja,Miercoles,14,172,6.75,12.8,0,21.1,4.3,3,3
V0045,R1 - Centro,Est. Ricaurte,Est. Paloquemao,Martes,8,840,4.81,10.9,1,20.0,6.5,1,1
V0046,R4 - Oriental,Est. La Granja,Est. Ferias,Viernes,14,162,11.1,19.3,0,20.0,10.3,3,3
V0047,R4 - Oriental,Est. La Granja,Est. Modelia,Miercoles,14,212,12.8,30.6,0,17.1,5.0,2,2
V0048,R3 - Sur,Est. Portal Sur,Est. NQS Sur,Miercoles,14,306,16.29,28.1,0,16.6,0.8,2,2
V0049,R2 - Norte,Est. Calle 100,Est. Alcala,Miercoles,10,188,12.28,25.1,0,15.7,5.6,0,0
V0050,R5 - Occidental,Est. Portal 80,Est. Minuto de Dios,Sabado,18,611,5.53,11.5,0,13.6,14.2,3,3
V0051,R5 - Occidental,Est. Garces Navas,Est. Minuto de Dios,Sabado,7,532,16.43,47.3,0,15.1,9.6,2,2
V0052,R3 - Sur,Est. NQS Sur,Est. Portal Sur,Miercoles,18,521,18.64,33.9,0,15.2,10.1,2,2
V0053,R4 - Oriental,Est. Quirigua,Est. Ferias,Domingo,22,233,7.68,18.2,0,17.4,9.5,3,3
V0054,R1 - Centro,Est. Central,Est. La Sabana,Sabado,17,668,12.32,35.6,0,19.7,3.0,2,2
V0055,R4 - Oriental,Est. Modelia,Est. Ferias,Jueves,21,208,10.96,36.1,0,17.3,6.3,2,2
V0056,R3 - Sur,Est. Bosa,Est. NQS Sur,Miercoles,13,357,15.36,33.5,0,13.5,11.3,2,2
V0057,R5 - Occidental,Est. Portal 80,Est. Garces Navas,Jueves,8,510,13.84,30.8,0,21.6,1.5,2,2
V0058,R4 - Oriental,Est. Quirigua,Est. Modelia,Jueves,17,518,13.2,26.2,0,21.5,4.2,2,2
V0059,R5 - Occidental,Est. Portal 80,Est. Avenida 68,Miercoles,5,212,12.76,23.1,0,20.1,4.1,1,1
V0060,R1 - Centro,Est. Paloquemao,Est. Ricaurte,Martes,15,402,4.87,15.1,0,21.9,6.5,3,3
V0061,R5 - Occidental,Est. Minuto de Dios,Est. Garces Navas,Domingo,5,195,9.02,17.8,0,17.9,14.7,1,1
V0062,R5 - Occidental,Est. Garces Navas,Est. Portal 80,Miercoles,19,374,15.95,45.2,0,21.7,1.0,2,2
V0063,R2 - Norte,Est. Portal Norte,Est. Calle 100,Miercoles,22,134,8.37,15.4,0,13.7,7.8,0,0
V0064,R2 - Norte,Est. Alcala,Est. Calle 100,Sabado,11,377,10.26,19.3,0,16.3,2.7,0,0
V0065,R2 - Norte,Est. Calle 100,Est. Alcala,Miercoles,20,266,11.02,24.3,0,15.0,14.6,3,3
V0066,R5 - Occidental,Est. Avenida 68,Est. Garces Navas,Martes,17,641,10.21,20.4,0,14.8,1.7,0,0
V0067,R3 - Sur,Est. Bosa,Est. NQS Sur,Sabado,18,744,15.82,40.7,0,14.3,6.1,2,2
V0068,R5 - Occidental,Est. Garces Navas,Est. Portal 80,Lunes,13,174,16.13,37.2,0,18.6,11.1,2,2
V0069,R3 - Sur,Est. NQS Sur,Est. Portal Sur,Lunes,15,150,10.17,19.1,0,20.0,10.6,3,3
V0070,R3 - Sur,Est. Kennedy,Est. Bosa,Jueves,17,734,8.36,19.4,0,18.2,6.3,0,0
V0071,R2 - Norte,Est. Portal Norte,Est. Alcala,Domingo,8,684,8.02,20.0,0,14.3,5.2,1,1
V0072,R4 - Oriental,Est. Ferias,Est. Modelia,Jueves,22,186,14.0,31.8,0,20.3,6.0,2,2
V0073,R1 - Centro,Est. Ricaurte,Est. Central,Martes,15,294,9.4,17.6,0,18.7,4.0,0,0
V0074,R2 - Norte,Est. Calle 100,Est. Alcala,Viernes,17,627,9.15,23.2,0,16.5,3.1,0,0
V0075,R2 - Norte,Est. Alcala,Est. Toberin,Domingo,5,324,15.94,45.6,0,19.1,7.2,2,2
V0076,R4 - Oriental,Est. Ferias,Est. Modelia,Lunes,18,399,13.72,27.3,0,15.3,4.0,0,0
V0077,R1 - Centro,Est. La Sabana,Est. Central,Jueves,14,177,11.16,20.9,0,16.1,4.3,0,0
V0078,R5 - Occidental,Est. Avenida 68,Est. Garces Navas,Lunes,12,187,15.85,48.2,0,21.3,9.9,2,2
V0079,R5 - Occidental,Est. Portal 80,Est. Avenida 68,Martes,18,544,8.01,21.8,0,15.6,14.5,3,3
V0080,R2 - Norte,Est. Portal Norte,Est. Alcala,Martes,17,785,15.16,44.6,0,17.2,9.1,2,2
V0081,R1 - Centro,Est. La Sabana,Est. Paloquemao,Viernes,17,622,7.78,19.5,0,21.0,1.2,0,0
V0082,R2 - Norte,Est. Calle 100,Est. Alcala,Viernes,14,206,16.28,38.1,0,19.4,1.1,2,2
V0083,R3 - Sur,Est. Portal Sur,Est. Bosa,Sabado,18,766,17.58,34.3,0,13.6,14.3,2,2
V0084,R2 - Norte,Est. Calle 100,Est. Portal Norte,Domingo,18,711,15.44,31.9,0,14.3,4.5,0,0
V0085,R2 - Norte,Est. Calle 100,Est. Alcala,Martes,13,307,13.9,29.2,0,13.1,1.4,0,0
V0086,R5 - Occidental,Est. Avenida 68,Est. Portal 80,Jueves,8,536,7.13,17.8,0,18.7,9.0,1,1
V0087,R5 - Occidental,Est. Avenida 68,Est. Garces Navas,Lunes,18,572,11.45,21.3,0,17.0,9.4,3,3
V0088,R5 - Occidental,Est. Portal 80,Est. Avenida 68,Miercoles,11,116,16.62,38.3,0,14.2,9.7,2,2
V0089,R3 - Sur,Est. Kennedy,Est. NQS Sur,Viernes,7,524,20.75,35.9,0,21.6,4.0,2,2
V0090,R5 - Occidental,Est. Avenida 68,Est. Portal 80,Miercoles,7,582,5.55,11.6,0,17.8,0.2,1,1
V0091,R1 - Centro,Est. Central,Est. Ricaurte,Jueves,11,330,5.19,15.5,0,15.2,14.5,3,3
V0092,R4 - Oriental,Est. Ferias,Est. La Granja,Viernes,8,480,5.96,12.1,0,17.5,3.8,1,1
V0093,R1 - Centro,Est. Central,Est. La Sabana,Miercoles,17,688,10.1,25.8,0,19.1,10.1,3,3
V0094,R1 - Centro,Est. Paloquemao,Est. Central,Domingo,16,485,10.91,22.1,0,13.7,10.6,3,3
V0095,R5 - Occidental,Est. Garces Navas,Est. Avenida 68,Jueves,18,669,7.55,23.6,0,15.5,9.2,3,3
V0096,R4 - Oriental,Est. Modelia,Est. La Granja,Lunes,18,566,9.94,28.4,0,20.3,4.7,0,0
V0097,R4 - Oriental,Est. Quirigua,Est. Ferias,Domingo,21,285,13.51,24.9,0,17.1,4.1,0,0
V0098,R4 - Oriental,Est. Ferias,Est. Quirigua,Jueves,14,187,12.36,33.9,0,17.9,9.0,2,2
V0099,R3 - Sur,Est. Bosa,Est. NQS Sur,Sabado,18,750,14.75,27.5,0,16.9,13.0,3,3
V0100,R5 - Occidental,Est. Minuto de Dios,Est. Garces Navas,Viernes,5,212,11.98,31.6,0,13.4,14.2,2,2
V0101,R4 - Oriental,Est. La Granja,Est. Quirigua,Martes,9,428,9.97,20.7,0,14.5,1.6,0,0
V0102,R3 - Sur,Est. NQS Sur,Est. Bosa,Lunes,8,548,11.03,22.2,0,17.0,2.3,1,1
V0103,R2 - Norte,Est. Calle 100,Est. Alcala,Domingo,19,414,12.73,28.6,0,14.9,14.2,3,3
V0104,R2 - Norte,Est. Toberin,Est. Calle 100,Domingo,13,341,14.31,37.0,0,13.4,11.0,2,2
V0105,R3 - Sur,Est. Kennedy,Est. Bosa,Miercoles,7,589,19.78,54.9,0,20.6,13.2,2,2
